Data do início da análise,Campus,Nome completo do avaliador do processo CAR,Nome completo do orientador Ifes,Nome completo do ponto focal Idaf,Código Edocs,Processo florestal nº,Código do empreendimento nº,Município,Meta de prazo de encaminhamento do processo,Status,Motivo da notificação ao proprietário (se aplicável),Detalhamento da Notificação (Outros - Descrever),Data da ultima atualização de status
06/11/2025,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-42423 ,4911/2025,636044,Pedro Canário,,02 - Reprovado,"02 - Documental, 09 - Erro no projeto digital","Processo faltando vários documentos, adequações no projeto geográfico",
05/11/2025,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-NRS0X,1385/2021,614904,Atílio Vivácqua,,03 - Aprovado,02 - Documental,Requerimento sem assinatura do inventariante,
10/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-FM3ZN,3510/2021,615247,Alegre,,01 - Digitalizado e Autuado,,,
13/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-FJVG3,19335/2013,18815,Alegre,,01 - Digitalizado e Autuado,,,
13/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-MDJR2,3505/2021,615243,Alegre,,01 - Digitalizado e Autuado,,,
13/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-SHT4P,4880/2021,615460,Alegre,,01 - Digitalizado e Autuado,,,
13/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-QB57Z,4883/2021,615463,Alegre,,01 - Digitalizado e Autuado,,,
13/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-NPJ94,3503/2021,615242,Alegre,,01 - Digitalizado e Autuado,,,
15/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-9SN4P,4884/2021,615464,Alegre,,01 - Digitalizado e Autuado,,,
15/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-5XZ57,3715/2021,615288,Alegre,,01 - Digitalizado e Autuado,,,
15/10/25,Alegre,Jeferson Luiz Ferrari,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-G58MR,4879/2021,615459,Alegre,,01 - Digitalizado e Autuado,,,
